attack_type,security_tools_used,industry
Ransomware,WAF,Finance
Ransomware,MFA,Manufacturing
Phishing,MFA,Energy
Zero-Day Exploit,WAF,Manufacturing
Brute Force,IDS,Finance
SQL Injection,Endpoint Detection,Government
SQL Injection,SIEM,Technology
Cross-Site Scripting,MFA,Healthcare
Zero-Day Exploit,MFA,Healthcare
DDoS,VPN,Technology
SQL Injection,IDS,Retail
SQL Injection,IDS,Manufacturing
SQL Injection,Endpoint Detection,Finance
Cross-Site Scripting,MFA,Retail
Brute Force,VPN,Finance
DDoS,SIEM,Technology
Ransomware,SIEM,Finance
DDoS,SIEM,Energy
Ransomware,WAF,Finance
Phishing,WAF,Healthcare
Brute Force,SIEM,Manufacturing
Cross-Site Scripting,IDS,Retail
Brute Force,Endpoint Detection,Retail
SQL Injection,MFA,Technology
Brute Force,Endpoint Detection,Manufacturing
DDoS,MFA,Energy
Brute Force,Antivirus,Technology
DDoS,MFA,Government
Brute Force,Endpoint Detection,Education
Zero-Day Exploit,MFA,Energy
Malware,VPN,Technology
Zero-Day Exploit,SIEM,Energy
Brute Force,VPN,Finance
DDoS,Antivirus,Manufacturing
Malware,Antivirus,Manufacturing
Malware,IDS,Technology
Ransomware,Antivirus,Healthcare
Ransomware,SIEM,Healthcare
Malware,MFA,Energy
Malware,Firewall,Finance
Cross-Site Scripting,SIEM,Education
SQL Injection,Endpoint Detection,Finance
Ransomware,WAF,Technology
Cross-Site Scripting,Endpoint Detection,Healthcare
Cross-Site Scripting,WAF,Government
Malware,Endpoint Detection,Energy
Cross-Site Scripting,Firewall,Manufacturing
Cross-Site Scripting,Antivirus,Technology
Zero-Day Exploit,Endpoint Detection,Technology
DDoS,MFA,Manufacturing
Phishing,Antivirus,Government
DDoS,SIEM,Energy
Phishing,Antivirus,Retail
Phishing,Antivirus,Government
SQL Injection,Firewall,Government
Cross-Site Scripting,Antivirus,Technology
Phishing,Firewall,Retail
Brute Force,Antivirus,Retail
Ransomware,VPN,Energy
SQL Injection,WAF,Technology
Ransomware,Firewall,Retail
SQL Injection,WAF,Government
Malware,Firewall,Technology
Malware,WAF,Retail
Phishing,Endpoint Detection,Healthcare
Ransomware,IDS,Finance
Cross-Site Scripting,Antivirus,Retail
Phishing,Endpoint Detection,Government
Phishing,MFA,Healthcare
Cross-Site Scripting,Firewall,Healthcare
Phishing,IDS,Technology
Malware,Endpoint Detection,Government
Zero-Day Exploit,WAF,Retail
Phishing,MFA,Manufacturing
SQL Injection,VPN,Healthcare
SQL Injection,SIEM,Technology
Zero-Day Exploit,IDS,Manufacturing
Brute Force,Firewall,Manufacturing
Cross-Site Scripting,SIEM,Education
Phishing,Firewall,Technology
Ransomware,Endpoint Detection,Healthcare
Malware,IDS,Technology
Cross-Site Scripting,SIEM,Retail
Phishing,MFA,Education
Cross-Site Scripting,Firewall,Retail
Ransomware,Antivirus,Technology
Cross-Site Scripting,Endpoint Detection,Education
Malware,SIEM,Education
Cross-Site Scripting,Antivirus,Finance
Zero-Day Exploit,VPN,Education
Brute Force,Antivirus,Retail
Ransomware,Firewall,Healthcare
Phishing,VPN,Manufacturing
Malware,WAF,Manufacturing
Brute Force,Endpoint Detection,Government
SQL Injection,Endpoint Detection,Healthcare
Malware,Firewall,Government
Cross-Site Scripting,WAF,Manufacturing
Ransomware,Endpoint Detection,Finance
Cross-Site Scripting,Antivirus,Finance
Phishing,IDS,Finance
Brute Force,VPN,Manufacturing
SQL Injection,IDS,Manufacturing
SQL Injection,IDS,Retail
Cross-Site Scripting,VPN,Education
DDoS,Firewall,Government
Cross-Site Scripting,SIEM,Technology
Brute Force,IDS,Finance
Zero-Day Exploit,WAF,Energy
DDoS,VPN,Energy
Cross-Site Scripting,Endpoint Detection,Healthcare
Zero-Day Exploit,VPN,Education
Zero-Day Exploit,IDS,Energy
Cross-Site Scripting,IDS,Technology
DDoS,Endpoint Detection,Education
DDoS,IDS,Retail
Brute Force,IDS,Healthcare
Cross-Site Scripting,Firewall,Finance
Phishing,Endpoint Detection,Retail
Cross-Site Scripting,Antivirus,Energy
Cross-Site Scripting,WAF,Energy
Phishing,Firewall,Finance
Cross-Site Scripting,SIEM,Manufacturing
Ransomware,Endpoint Detection,Healthcare
Cross-Site Scripting,VPN,Finance
Zero-Day Exploit,SIEM,Technology
Malware,VPN,Finance
Zero-Day Exploit,VPN,Technology
Brute Force,SIEM,Technology
Zero-Day Exploit,Antivirus,Retail
DDoS,WAF,Retail
Zero-Day Exploit,Endpoint Detection,Energy
Phishing,IDS,Technology
Malware,SIEM,Healthcare
DDoS,SIEM,Technology
Brute Force,MFA,Government
SQL Injection,IDS,Manufacturing
SQL Injection,SIEM,Finance
Malware,Endpoint Detection,Manufacturing
Cross-Site Scripting,SIEM,Energy
Brute Force,Antivirus,Education
Malware,SIEM,Finance
Zero-Day Exploit,VPN,Government
DDoS,WAF,Manufacturing
SQL Injection,VPN,Healthcare
SQL Injection,SIEM,Energy
Malware,Antivirus,Manufacturing
Phishing,Antivirus,Education
Malware,WAF,Education
DDoS,WAF,Manufacturing
Phishing,VPN,Education
Cross-Site Scripting,MFA,Energy
Brute Force,WAF,Retail
Cross-Site Scripting,Endpoint Detection,Education
Cross-Site Scripting,SIEM,Finance
SQL Injection,IDS,Retail
DDoS,Antivirus,Energy
Zero-Day Exploit,Antivirus,Finance
DDoS,Antivirus,Retail
Cross-Site Scripting,Endpoint Detection,Government
Cross-Site Scripting,Endpoint Detection,Government
Brute Force,SIEM,Energy
Ransomware,MFA,Education
Brute Force,WAF,Manufacturing
Ransomware,IDS,Technology
Zero-Day Exploit,Antivirus,Manufacturing
DDoS,VPN,Technology
Zero-Day Exploit,WAF,Government
Ransomware,Antivirus,Healthcare
Malware,SIEM,Government
DDoS,VPN,Energy
SQL Injection,VPN,Finance
Cross-Site Scripting,Endpoint Detection,Healthcare
Phishing,SIEM,Manufacturing
Malware,WAF,Healthcare
Malware,IDS,Manufacturing
Phishing,MFA,Education
Brute Force,SIEM,Healthcare
SQL Injection,Antivirus,Government
Phishing,IDS,Education
DDoS,WAF,Manufacturing
Brute Force,Antivirus,Finance
Cross-Site Scripting,MFA,Education
Cross-Site Scripting,MFA,Manufacturing
Cross-Site Scripting,WAF,Finance
SQL Injection,Firewall,Retail
SQL Injection,Endpoint Detection,Healthcare
Ransomware,IDS,Education
Phishing,MFA,Finance
Brute Force,SIEM,Retail
DDoS,SIEM,Technology
Phishing,IDS,Education
Cross-Site Scripting,MFA,Healthcare
Phishing,Firewall,Energy
Ransomware,IDS,Healthcare
DDoS,MFA,Energy
Phishing,IDS,Education
DDoS,SIEM,Education
Brute Force,Endpoint Detection,Government
Phishing,WAF,Healthcare
SQL Injection,MFA,Technology
Malware,MFA,Healthcare
Malware,Firewall,Finance
Ransomware,Endpoint Detection,Energy
Cross-Site Scripting,MFA,Technology
Zero-Day Exploit,IDS,Retail
Malware,Antivirus,Technology
SQL Injection,IDS,Government
Phishing,Endpoint Detection,Technology
Cross-Site Scripting,WAF,Government
Cross-Site Scripting,WAF,Retail
DDoS,IDS,Technology
Cross-Site Scripting,IDS,Government
Brute Force,Antivirus,Energy
SQL Injection,WAF,Technology
SQL Injection,IDS,Education
Cross-Site Scripting,Firewall,Energy
DDoS,Firewall,Education
SQL Injection,MFA,Education
Brute Force,Endpoint Detection,Healthcare
Zero-Day Exploit,MFA,Manufacturing
Brute Force,SIEM,Government
DDoS,SIEM,Healthcare
Ransomware,Firewall,Energy
Ransomware,Endpoint Detection,Government
Phishing,IDS,Technology
DDoS,Firewall,Manufacturing
Phishing,VPN,Government
SQL Injection,Endpoint Detection,Education
DDoS,Firewall,Finance
Cross-Site Scripting,IDS,Finance
SQL Injection,WAF,Finance
Brute Force,IDS,Energy
SQL Injection,WAF,Energy
Brute Force,WAF,Government
Phishing,Endpoint Detection,Finance
DDoS,SIEM,Energy
Phishing,WAF,Technology
Phishing,WAF,Government
Brute Force,MFA,Retail
SQL Injection,VPN,Retail
Cross-Site Scripting,VPN,Education
Malware,IDS,Education
Cross-Site Scripting,Firewall,Retail
Zero-Day Exploit,Firewall,Finance
Brute Force,Antivirus,Finance
Zero-Day Exploit,WAF,Manufacturing
Zero-Day Exploit,WAF,Education
Ransomware,SIEM,Government
Malware,MFA,Technology
SQL Injection,Antivirus,Energy
Cross-Site Scripting,IDS,Energy
SQL Injection,Endpoint Detection,Retail
Zero-Day Exploit,Antivirus,Education
Malware,Endpoint Detection,Education
Malware,SIEM,Government
DDoS,IDS,Healthcare
Zero-Day Exploit,Antivirus,Energy
Ransomware,WAF,Retail
Brute Force,Endpoint Detection,Retail
DDoS,Antivirus,Energy
Malware,Endpoint Detection,Energy
SQL Injection,WAF,Retail
Brute Force,SIEM,Energy
Brute Force,Firewall,Finance
SQL Injection,MFA,Retail
Cross-Site Scripting,Endpoint Detection,Manufacturing
SQL Injection,VPN,Technology
Cross-Site Scripting,Firewall,Education
DDoS,Endpoint Detection,Manufacturing
DDoS,Antivirus,Healthcare
Cross-Site Scripting,Antivirus,Manufacturing
SQL Injection,VPN,Manufacturing
Malware,VPN,Technology
Zero-Day Exploit,SIEM,Education
Brute Force,Antivirus,Healthcare
Brute Force,SIEM,Energy
Phishing,SIEM,Education
Cross-Site Scripting,SIEM,Energy
Cross-Site Scripting,IDS,Government
Phishing,IDS,Retail
Cross-Site Scripting,IDS,Technology
Zero-Day Exploit,WAF,Education
Cross-Site Scripting,MFA,Technology
Ransomware,MFA,Government
Phishing,SIEM,Energy
Cross-Site Scripting,IDS,Retail
Malware,SIEM,Energy
Zero-Day Exploit,Antivirus,Retail
DDoS,Endpoint Detection,Finance
DDoS,Endpoint Detection,Retail
Brute Force,IDS,Education
DDoS,Firewall,Retail
SQL Injection,IDS,Technology
Malware,IDS,Education
Zero-Day Exploit,Firewall,Education
Ransomware,WAF,Retail
Brute Force,Firewall,Manufacturing
Ransomware,Endpoint Detection,Manufacturing
Zero-Day Exploit,IDS,Government
Ransomware,MFA,Government
Malware,Firewall,Education
SQL Injection,SIEM,Healthcare
SQL Injection,MFA,Energy
Brute Force,SIEM,Education
Cross-Site Scripting,IDS,Healthcare
Ransomware,MFA,Education
DDoS,Antivirus,Government
Phishing,SIEM,Healthcare
Malware,Firewall,Technology
Cross-Site Scripting,WAF,Education
SQL Injection,IDS,Manufacturing
SQL Injection,SIEM,Energy
Phishing,MFA,Education
Phishing,Antivirus,Energy
DDoS,WAF,Education
Malware,VPN,Education
Zero-Day Exploit,Firewall,Technology
SQL Injection,MFA,Finance
Ransomware,WAF,Education
Ransomware,WAF,Finance
Brute Force,Antivirus,Education
DDoS,Firewall,Manufacturing
Ransomware,Endpoint Detection,Education
Malware,Endpoint Detection,Manufacturing
Ransomware,WAF,Energy
DDoS,SIEM,Government
Cross-Site Scripting,Firewall,Manufacturing
Zero-Day Exploit,IDS,Finance
SQL Injection,SIEM,Finance
Zero-Day Exploit,SIEM,Energy
SQL Injection,IDS,Energy
DDoS,MFA,Manufacturing
DDoS,Endpoint Detection,Energy
Cross-Site Scripting,SIEM,Healthcare
Ransomware,Endpoint Detection,Education
Malware,Antivirus,Healthcare
DDoS,IDS,Energy
Brute Force,Firewall,Retail
Malware,SIEM,Technology
Zero-Day Exploit,Antivirus,Education
DDoS,Antivirus,Energy
DDoS,Antivirus,Energy
Ransomware,IDS,Manufacturing
Malware,Antivirus,Energy
Phishing,Antivirus,Technology
Brute Force,Firewall,Retail
DDoS,MFA,Energy
Cross-Site Scripting,MFA,Technology
Malware,MFA,Healthcare
Phishing,Firewall,Healthcare
Cross-Site Scripting,Endpoint Detection,Manufacturing
Zero-Day Exploit,VPN,Technology
Zero-Day Exploit,SIEM,Government
Zero-Day Exploit,MFA,Finance
Malware,Antivirus,Finance
SQL Injection,MFA,Manufacturing
SQL Injection,Endpoint Detection,Technology
SQL Injection,SIEM,Manufacturing
Zero-Day Exploit,MFA,Energy
DDoS,VPN,Government
Cross-Site Scripting,WAF,Manufacturing
Zero-Day Exploit,SIEM,Healthcare
Zero-Day Exploit,Endpoint Detection,Healthcare
SQL Injection,Firewall,Healthcare
SQL Injection,MFA,Retail
SQL Injection,Antivirus,Manufacturing
Malware,Endpoint Detection,Finance
Brute Force,Endpoint Detection,Healthcare
Brute Force,WAF,Healthcare
Cross-Site Scripting,Antivirus,Energy
Brute Force,IDS,Education
Phishing,IDS,Technology
Cross-Site Scripting,SIEM,Finance
Cross-Site Scripting,Firewall,Energy
Malware,MFA,Finance
DDoS,SIEM,Government
DDoS,IDS,Manufacturing
Zero-Day Exploit,IDS,Retail
SQL Injection,WAF,Finance
Brute Force,Antivirus,Retail
Cross-Site Scripting,Antivirus,Technology
Phishing,Firewall,Education
Phishing,Firewall,Energy
Phishing,WAF,Finance
Cross-Site Scripting,WAF,Finance
Zero-Day Exploit,VPN,Healthcare
Cross-Site Scripting,WAF,Energy
Phishing,Firewall,Energy
DDoS,VPN,Government
Ransomware,WAF,Education
Brute Force,Firewall,Finance
Ransomware,Firewall,Energy
Phishing,Firewall,Finance
DDoS,MFA,Energy
DDoS,Firewall,Manufacturing
SQL Injection,IDS,Manufacturing
Brute Force,SIEM,Energy
DDoS,Antivirus,Finance
Cross-Site Scripting,Endpoint Detection,Manufacturing
DDoS,VPN,Government
Phishing,Antivirus,Healthcare
Brute Force,SIEM,Manufacturing
SQL Injection,Endpoint Detection,Retail
Cross-Site Scripting,MFA,Energy
Malware,Antivirus,Government
Malware,SIEM,Government
Cross-Site Scripting,Endpoint Detection,Government
Malware,IDS,Finance
Brute Force,IDS,Healthcare
DDoS,Firewall,Government
Brute Force,VPN,Energy
Zero-Day Exploit,SIEM,Finance
Brute Force,Antivirus,Retail
Cross-Site Scripting,VPN,Education
Malware,Firewall,Technology
DDoS,Firewall,Energy
Phishing,Endpoint Detection,Retail
SQL Injection,IDS,Manufacturing
Brute Force,WAF,Government
SQL Injection,WAF,Energy
Malware,Endpoint Detection,Government
Cross-Site Scripting,WAF,Technology
DDoS,WAF,Healthcare
Cross-Site Scripting,VPN,Energy
Brute Force,Antivirus,Retail
SQL Injection,WAF,Manufacturing
Cross-Site Scripting,Endpoint Detection,Education
Zero-Day Exploit,SIEM,Energy
Zero-Day Exploit,Antivirus,Education
Brute Force,IDS,Education
Zero-Day Exploit,IDS,Finance
Malware,Antivirus,Manufacturing
DDoS,SIEM,Government
Zero-Day Exploit,MFA,Healthcare
Brute Force,IDS,Healthcare
Ransomware,VPN,Finance
Zero-Day Exploit,Firewall,Government
SQL Injection,IDS,Healthcare
Zero-Day Exploit,Endpoint Detection,Manufacturing
Brute Force,VPN,Retail
Cross-Site Scripting,SIEM,Government
DDoS,Firewall,Technology
Phishing,Antivirus,Finance
DDoS,IDS,Government
Zero-Day Exploit,MFA,Manufacturing
DDoS,Firewall,Energy
Zero-Day Exploit,MFA,Education
DDoS,SIEM,Finance
Phishing,VPN,Retail
DDoS,MFA,Government
Phishing,VPN,Manufacturing
SQL Injection,Firewall,Finance
Cross-Site Scripting,Endpoint Detection,Healthcare
Cross-Site Scripting,VPN,Healthcare
Ransomware,WAF,Energy
Ransomware,MFA,Finance
Ransomware,Endpoint Detection,Education
Malware,MFA,Finance
Malware,Endpoint Detection,Retail
Phishing,VPN,Healthcare
Malware,Endpoint Detection,Government
Cross-Site Scripting,SIEM,Healthcare
Phishing,IDS,Finance
SQL Injection,Endpoint Detection,Energy
SQL Injection,Antivirus,Government
Ransomware,MFA,Manufacturing
DDoS,MFA,Healthcare
Zero-Day Exploit,Antivirus,Retail
SQL Injection,Antivirus,Education
DDoS,MFA,Retail
Malware,Firewall,Finance
Zero-Day Exploit,WAF,Energy
Malware,VPN,Government
Phishing,Endpoint Detection,Finance
SQL Injection,WAF,Healthcare
Malware,Antivirus,Healthcare
Zero-Day Exploit,Firewall,Healthcare
Ransomware,Firewall,Healthcare
SQL Injection,Antivirus,Education
SQL Injection,WAF,Retail
Phishing,IDS,Finance
Zero-Day Exploit,Firewall,Energy
Malware,WAF,Manufacturing
SQL Injection,WAF,Finance
Cross-Site Scripting,Antivirus,Technology
Zero-Day Exploit,SIEM,Government
Malware,IDS,Technology
Zero-Day Exploit,WAF,Education
DDoS,MFA,Education
Phishing,Antivirus,Technology
Brute Force,MFA,Manufacturing
Ransomware,SIEM,Healthcare
Brute Force,SIEM,Energy
Ransomware,Firewall,Retail
Phishing,WAF,Retail
SQL Injection,Firewall,Government
Zero-Day Exploit,MFA,Retail
Brute Force,VPN,Healthcare
Phishing,VPN,Energy
Cross-Site Scripting,WAF,Technology
Ransomware,VPN,Finance
Cross-Site Scripting,Endpoint Detection,Energy
Zero-Day Exploit,IDS,Healthcare
Cross-Site Scripting,IDS,Finance
DDoS,WAF,Finance
DDoS,Antivirus,Energy
Zero-Day Exploit,WAF,Healthcare
SQL Injection,SIEM,Retail
Phishing,VPN,Retail
Malware,IDS,Retail
DDoS,WAF,Finance
Malware,Firewall,Energy
Brute Force,IDS,Energy
Cross-Site Scripting,Antivirus,Manufacturing
DDoS,Firewall,Manufacturing
Ransomware,Endpoint Detection,Finance
DDoS,MFA,Government
SQL Injection,Antivirus,Energy
Ransomware,SIEM,Manufacturing
Zero-Day Exploit,Firewall,Government
SQL Injection,Endpoint Detection,Retail
Zero-Day Exploit,WAF,Education
Malware,MFA,Government
SQL Injection,VPN,Finance
Zero-Day Exploit,IDS,Finance
Zero-Day Exploit,IDS,Technology
DDoS,SIEM,Retail
Zero-Day Exploit,VPN,Government
Malware,Firewall,Energy
Ransomware,SIEM,Healthcare
Cross-Site Scripting,MFA,Healthcare
Ransomware,MFA,Education
Cross-Site Scripting,SIEM,Energy
DDoS,MFA,Manufacturing
Malware,Antivirus,Technology
Brute Force,VPN,Healthcare
Cross-Site Scripting,WAF,Manufacturing
SQL Injection,Firewall,Healthcare
Malware,VPN,Energy
Zero-Day Exploit,WAF,Education
SQL Injection,VPN,Healthcare
Brute Force,SIEM,Government
Brute Force,VPN,Healthcare
Zero-Day Exploit,Antivirus,Energy
Cross-Site Scripting,IDS,Manufacturing
Phishing,WAF,Government
Cross-Site Scripting,Antivirus,Manufacturing
Brute Force,VPN,Retail
Phishing,Antivirus,Healthcare
Brute Force,WAF,Healthcare
Phishing,Endpoint Detection,Manufacturing
SQL Injection,Antivirus,Retail
Phishing,WAF,Government
Phishing,SIEM,Retail
Brute Force,IDS,Education
Brute Force,IDS,Technology
Brute Force,Firewall,Finance
Malware,VPN,Manufacturing
DDoS,Antivirus,Healthcare
DDoS,MFA,Manufacturing
Zero-Day Exploit,Endpoint Detection,Finance
Ransomware,WAF,Education
DDoS,WAF,Retail
Zero-Day Exploit,WAF,Finance
Zero-Day Exploit,MFA,Education
Phishing,Endpoint Detection,Manufacturing
SQL Injection,Antivirus,Manufacturing
Phishing,MFA,Technology
Phishing,WAF,Manufacturing
Ransomware,VPN,Retail
Cross-Site Scripting,SIEM,Healthcare
Malware,IDS,Government
Ransomware,SIEM,Technology
Cross-Site Scripting,Endpoint Detection,Education
Cross-Site Scripting,Antivirus,Technology
Cross-Site Scripting,SIEM,Energy
Brute Force,Endpoint Detection,Government
Zero-Day Exploit,WAF,Energy
Zero-Day Exploit,IDS,Technology
Ransomware,Endpoint Detection,Technology
Phishing,IDS,Retail
DDoS,SIEM,Energy
SQL Injection,VPN,Healthcare
Phishing,VPN,Government
SQL Injection,WAF,Retail
Zero-Day Exploit,Endpoint Detection,Manufacturing
Malware,Endpoint Detection,Manufacturing
DDoS,Antivirus,Government
Cross-Site Scripting,VPN,Manufacturing
Zero-Day Exploit,VPN,Finance
Phishing,Firewall,Healthcare
Phishing,IDS,Government
Malware,WAF,Finance
Zero-Day Exploit,Endpoint Detection,Education
DDoS,VPN,Government
Ransomware,SIEM,Healthcare
Phishing,Firewall,Technology
Phishing,Antivirus,Healthcare
Brute Force,MFA,Healthcare
Phishing,MFA,Education
Malware,MFA,Healthcare
Cross-Site Scripting,SIEM,Government
Malware,Firewall,Energy
Ransomware,Firewall,Government
DDoS,Antivirus,Government
DDoS,MFA,Retail
Malware,IDS,Education
Malware,MFA,Energy
SQL Injection,Antivirus,Finance
Phishing,IDS,Manufacturing
Phishing,MFA,Manufacturing
SQL Injection,VPN,Retail
Malware,Firewall,Technology
Cross-Site Scripting,Endpoint Detection,Retail
Ransomware,Antivirus,Education
SQL Injection,Firewall,Manufacturing
Phishing,SIEM,Government
Cross-Site Scripting,IDS,Healthcare
SQL Injection,MFA,Healthcare
DDoS,IDS,Education
Zero-Day Exploit,MFA,Education
Zero-Day Exploit,Antivirus,Healthcare
Cross-Site Scripting,MFA,Education
Cross-Site Scripting,Antivirus,Retail
Zero-Day Exploit,VPN,Finance
Zero-Day Exploit,IDS,Technology
Brute Force,WAF,Retail
Cross-Site Scripting,Firewall,Education
Brute Force,IDS,Retail
Phishing,SIEM,Government
SQL Injection,WAF,Manufacturing
Malware,VPN,Manufacturing
Cross-Site Scripting,Antivirus,Manufacturing
Brute Force,Endpoint Detection,Finance
Ransomware,Firewall,Technology
Malware,MFA,Manufacturing
Phishing,Endpoint Detection,Technology
Zero-Day Exploit,VPN,Manufacturing
Zero-Day Exploit,VPN,Energy
DDoS,Antivirus,Government
Brute Force,Firewall,Finance
Ransomware,SIEM,Technology
Brute Force,Antivirus,Retail
DDoS,Firewall,Education
SQL Injection,Endpoint Detection,Manufacturing
SQL Injection,VPN,Government
Phishing,Endpoint Detection,Energy
DDoS,SIEM,Healthcare
Phishing,Endpoint Detection,Finance
SQL Injection,MFA,Retail
Zero-Day Exploit,WAF,Healthcare
DDoS,WAF,Energy
Malware,Antivirus,Education
DDoS,IDS,Manufacturing
Malware,MFA,Retail
DDoS,SIEM,Retail
Cross-Site Scripting,MFA,Healthcare
Malware,IDS,Manufacturing
SQL Injection,MFA,Technology
Brute Force,Firewall,Education
Cross-Site Scripting,Endpoint Detection,Retail
Phishing,VPN,Retail
Ransomware,MFA,Manufacturing
Ransomware,Firewall,Government
Ransomware,SIEM,Government
Ransomware,SIEM,Technology
Brute Force,Endpoint Detection,Retail
Phishing,IDS,Education
Malware,Antivirus,Technology
DDoS,VPN,Retail
Phishing,WAF,Education
Ransomware,Endpoint Detection,Technology
Zero-Day Exploit,Endpoint Detection,Manufacturing
Phishing,IDS,Finance
Phishing,Antivirus,Technology
Cross-Site Scripting,Firewall,Manufacturing
Brute Force,Antivirus,Manufacturing
Ransomware,Firewall,Education
Brute Force,WAF,Energy
Cross-Site Scripting,MFA,Manufacturing
Brute Force,VPN,Technology
Ransomware,WAF,Healthcare
Zero-Day Exploit,Antivirus,Technology
DDoS,SIEM,Education
Brute Force,IDS,Manufacturing
Malware,Firewall,Education
Phishing,Firewall,Manufacturing
Cross-Site Scripting,Antivirus,Government
Brute Force,SIEM,Finance
Brute Force,VPN,Finance
SQL Injection,SIEM,Healthcare
Cross-Site Scripting,Firewall,Energy
Phishing,Antivirus,Government
Malware,MFA,Education
Brute Force,VPN,Education
Brute Force,Antivirus,Government
Brute Force,WAF,Healthcare
Malware,WAF,Healthcare
SQL Injection,Endpoint Detection,Energy
Brute Force,Antivirus,Energy
DDoS,Endpoint Detection,Healthcare
DDoS,IDS,Government
Brute Force,WAF,Technology
DDoS,MFA,Finance
Phishing,Firewall,Education
Zero-Day Exploit,SIEM,Retail
Malware,Endpoint Detection,Government
Zero-Day Exploit,SIEM,Manufacturing
Brute Force,VPN,Technology
Phishing,VPN,Government
Zero-Day Exploit,IDS,Healthcare
DDoS,Antivirus,Manufacturing
Ransomware,Endpoint Detection,Retail
Brute Force,Firewall,Finance
DDoS,SIEM,Government
SQL Injection,VPN,Manufacturing
Zero-Day Exploit,WAF,Technology
Cross-Site Scripting,Firewall,Finance
Malware,Firewall,Education
Brute Force,MFA,Education
Ransomware,Endpoint Detection,Technology
SQL Injection,Antivirus,Finance
Ransomware,IDS,Finance
Cross-Site Scripting,VPN,Government
DDoS,SIEM,Energy
Cross-Site Scripting,Antivirus,Technology
DDoS,IDS,Finance
DDoS,Antivirus,Finance
Phishing,Endpoint Detection,Retail
Zero-Day Exploit,Firewall,Finance
Phishing,VPN,Finance
Malware,SIEM,Manufacturing
Brute Force,IDS,Finance
Ransomware,WAF,Technology
Phishing,Antivirus,Government
DDoS,Antivirus,Healthcare
Cross-Site Scripting,Antivirus,Finance
Cross-Site Scripting,SIEM,Government
Malware,MFA,Government
DDoS,Endpoint Detection,Energy
DDoS,Antivirus,Finance
Phishing,Firewall,Healthcare
Brute Force,VPN,Education
Zero-Day Exploit,SIEM,Manufacturing
Zero-Day Exploit,SIEM,Education
Cross-Site Scripting,WAF,Government
Ransomware,MFA,Manufacturing
Ransomware,MFA,Government
Ransomware,MFA,Finance
Cross-Site Scripting,IDS,Healthcare
Brute Force,SIEM,Government
DDoS,SIEM,Energy
Zero-Day Exploit,Firewall,Finance
DDoS,MFA,Technology
Phishing,Antivirus,Government
DDoS,VPN,Education
DDoS,IDS,Finance
Cross-Site Scripting,WAF,Retail
Brute Force,Antivirus,Government
Ransomware,IDS,Education
Zero-Day Exploit,SIEM,Finance
Phishing,VPN,Manufacturing
Malware,MFA,Government
Zero-Day Exploit,WAF,Finance
Cross-Site Scripting,Firewall,Manufacturing
Ransomware,VPN,Retail
Brute Force,WAF,Finance
Malware,SIEM,Energy
SQL Injection,WAF,Manufacturing
Ransomware,WAF,Energy
Malware,IDS,Healthcare
Malware,VPN,Technology
Malware,Antivirus,Education
Zero-Day Exploit,SIEM,Manufacturing
DDoS,SIEM,Education
DDoS,WAF,Education
SQL Injection,MFA,Government
SQL Injection,Firewall,Retail
Cross-Site Scripting,IDS,Healthcare
Zero-Day Exploit,Antivirus,Energy
SQL Injection,VPN,Retail
SQL Injection,Endpoint Detection,Finance
Zero-Day Exploit,MFA,Technology
SQL Injection,SIEM,Manufacturing
Zero-Day Exploit,Endpoint Detection,Government
SQL Injection,Endpoint Detection,Manufacturing
SQL Injection,IDS,Finance
SQL Injection,SIEM,Government
Zero-Day Exploit,Endpoint Detection,Technology
Zero-Day Exploit,WAF,Healthcare
Ransomware,Firewall,Retail
Cross-Site Scripting,VPN,Healthcare
Brute Force,WAF,Technology
SQL Injection,Firewall,Technology
Cross-Site Scripting,Firewall,Manufacturing
Phishing,VPN,Retail
Malware,Endpoint Detection,Retail
Ransomware,Endpoint Detection,Energy
Brute Force,Endpoint Detection,Healthcare
DDoS,IDS,Retail
SQL Injection,Endpoint Detection,Energy
DDoS,MFA,Healthcare
Malware,Endpoint Detection,Retail
Cross-Site Scripting,IDS,Technology
Cross-Site Scripting,Endpoint Detection,Energy
Ransomware,Endpoint Detection,Retail
DDoS,IDS,Healthcare
Brute Force,MFA,Healthcare
Brute Force,Antivirus,Education
Ransomware,SIEM,Finance
DDoS,Antivirus,Technology
Brute Force,IDS,Manufacturing
Malware,SIEM,Manufacturing
DDoS,VPN,Government
Zero-Day Exploit,SIEM,Healthcare
Brute Force,VPN,Government
Malware,SIEM,Technology
Zero-Day Exploit,WAF,Healthcare
Malware,Firewall,Energy
Cross-Site Scripting,Firewall,Energy
Brute Force,IDS,Technology
Malware,VPN,Education
Malware,MFA,Healthcare
SQL Injection,VPN,Manufacturing
Zero-Day Exploit,IDS,Manufacturing
DDoS,VPN,Manufacturing
Cross-Site Scripting,Antivirus,Government
Brute Force,Firewall,Energy
SQL Injection,IDS,Finance
DDoS,VPN,Healthcare
SQL Injection,SIEM,Finance
SQL Injection,MFA,Energy
Malware,SIEM,Finance
Malware,VPN,Education
Brute Force,SIEM,Healthcare
Brute Force,SIEM,Energy
Ransomware,SIEM,Healthcare
SQL Injection,Firewall,Energy
DDoS,VPN,Retail
Brute Force,Antivirus,Technology
Zero-Day Exploit,WAF,Government
SQL Injection,Firewall,Finance
Ransomware,MFA,Manufacturing
